index,Country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,RANK,Happiness score,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
0,Afghanistan,0,0,0,0.0,146,2.4,2.47,2.34,1.26,0.76,0.0,0.29,0.0,0.09,0.01
1,Albania,89,132,54,4.9,90,5.2,5.32,5.08,1.72,1.44,0.65,0.72,0.51,0.14,0.03
2,Algeria,25,0,14,0.7,96,5.12,5.22,5.03,1.74,1.36,0.97,0.64,0.15,0.11,0.15
6,Argentina,193,25,221,8.3,57,5.97,6.09,5.84,1.89,1.59,1.1,0.66,0.56,0.08,0.09
7,Armenia,21,179,11,3.8,82,5.4,5.52,5.28,1.65,1.43,0.82,0.67,0.56,0.05,0.21
8,Australia,261,72,212,10.4,12,7.16,7.24,7.08,2.01,1.9,1.2,0.77,0.68,0.26,0.34
9,Austria,279,75,191,9.7,11,7.16,7.24,7.09,2.15,1.93,1.17,0.77,0.62,0.19,0.33
12,Bahrain,42,63,7,2.0,21,6.65,6.78,6.51,2.09,1.85,1.03,0.63,0.69,0.2,0.16
13,Bangladesh,0,0,0,0.0,94,5.16,5.26,5.05,1.97,1.06,0.61,0.58,0.62,0.13,0.19
16,Belgium,295,84,212,10.5,19,6.81,6.89,6.72,2.28,1.91,1.11,0.76,0.49,0.05,0.2
18,Benin,34,4,13,1.1,115,4.62,4.75,4.49,2.46,0.93,0.06,0.34,0.48,0.13,0.23
20,Bolivia,167,41,8,3.8,71,5.6,5.71,5.49,2.11,1.26,0.88,0.56,0.63,0.11,0.06
23,Brazil,245,145,16,7.2,38,6.29,6.38,6.2,2.36,1.46,1.04,0.62,0.55,0.13,0.13
25,Bulgaria,231,252,94,10.3,85,5.37,5.49,5.26,1.24,1.63,1.16,0.64,0.56,0.12,0.02
26,Burkina Faso,25,7,7,4.3,113,4.67,4.81,4.53,2.31,0.78,0.57,0.32,0.38,0.19,0.13
30,Cambodia,57,65,1,2.2,114,4.64,4.77,4.52,1.41,1.02,0.73,0.51,0.74,0.17,0.07
31,Cameroon,147,1,4,5.8,102,5.05,5.19,4.91,2.47,0.97,0.67,0.32,0.4,0.15,0.07
32,Canada,240,122,100,8.2,15,7.03,7.11,6.94,1.92,1.89,1.19,0.78,0.66,0.22,0.37
35,Chile,130,124,172,7.6,44,6.17,6.26,6.08,2.04,1.65,1.08,0.75,0.46,0.12,0.07
36,China,79,192,8,5.0,72,5.59,5.65,5.52,1.52,1.51,0.96,0.71,0.66,0.1,0.14
37,Colombia,159,76,3,4.2,66,5.78,5.9,5.66,1.97,1.45,0.93,0.72,0.55,0.09,0.08
39,Congo,76,1,9,1.7,99,5.08,5.24,4.92,2.66,0.95,0.41,0.36,0.43,0.13,0.15
41,Costa Rica,149,87,11,4.4,23,6.58,6.68,6.48,2.35,1.58,1.05,0.74,0.66,0.09,0.1
42,Croatia,230,87,254,10.2,47,6.13,6.23,6.02,1.88,1.71,1.18,0.71,0.54,0.11,0.0
44,Cyprus,192,154,113,8.2,41,6.22,6.32,6.12,2.04,1.82,0.91,0.82,0.45,0.12,0.06
48,Denmark,224,81,278,10.4,2,7.64,7.71,7.56,2.23,1.95,1.24,0.78,0.72,0.19,0.53
51,Dominican Republic,193,147,9,6.2,69,5.74,5.87,5.6,1.75,1.54,1.0,0.58,0.61,0.08,0.18
52,Ecuador,162,74,3,4.2,76,5.53,5.65,5.41,1.87,1.35,0.88,0.71,0.57,0.08,0.08
53,Egypt,6,4,1,0.2,129,4.29,4.38,4.2,0.86,1.39,0.73,0.55,0.47,0.04,0.25
54,El Salvador,52,69,2,2.2,49,6.12,6.25,5.99,2.51,1.27,0.77,0.61,0.67,0.09,0.21
57,Estonia,224,194,59,9.5,36,6.34,6.42,6.27,1.44,1.79,1.23,0.73,0.69,0.12,0.33
58,Ethiopia,20,3,0,0.7,131,4.24,4.37,4.12,1.38,0.79,0.81,0.46,0.47,0.21,0.14
60,Finland,263,133,97,10.0,1,7.82,7.89,7.76,2.52,1.89,1.26,0.78,0.74,0.11,0.53
61,France,127,151,370,11.8,20,6.69,6.76,6.62,1.9,1.86,1.22,0.81,0.57,0.07,0.27
62,Gabon,347,98,59,8.9,106,4.96,5.09,4.83,1.89,1.46,0.74,0.4,0.34,0.03,0.1
64,Georgia,52,100,149,5.4,105,4.97,5.08,4.87,1.58,1.47,0.61,0.6,0.51,0.0,0.21
65,Germany,346,117,175,11.3,14,7.03,7.12,6.95,2.14,1.92,1.09,0.78,0.59,0.16,0.36
66,Ghana,31,3,10,1.8,111,4.87,5.0,4.75,1.97,1.11,0.6,0.41,0.5,0.23,0.06
67,Greece,133,112,218,8.3,58,5.95,6.04,5.85,2.12,1.7,0.98,0.77,0.25,0.02,0.11
70,Guinea,9,0,2,0.2,109,4.89,5.03,4.75,2.54,0.85,0.57,0.28,0.33,0.21,0.12
74,Honduras,69,98,2,3.0,55,6.02,6.19,5.86,2.61,1.11,0.89,0.56,0.58,0.2,0.08
75,Hungary,234,215,185,11.3,51,6.09,6.19,5.99,1.81,1.75,1.23,0.67,0.49,0.08,0.06
76,Iceland,233,61,78,6.6,3,7.56,7.65,7.46,2.32,1.94,1.32,0.8,0.72,0.27,0.19
77,India,9,114,0,2.2,136,3.78,3.83,3.73,0.8,1.17,0.38,0.47,0.65,0.2,0.12
78,Indonesia,5,1,0,0.1,87,5.24,5.34,5.14,1.3,1.38,0.88,0.54,0.62,0.47,0.05
79,Iran,0,0,0,0.0,110,4.89,5.0,4.78,1.43,1.41,0.74,0.64,0.28,0.24,0.15
80,Iraq,9,3,0,0.2,107,4.94,5.1,4.78,1.89,1.29,0.68,0.55,0.33,0.15,0.05
81,Ireland,313,118,165,11.4,13,7.04,7.12,6.96,1.74,2.13,1.17,0.78,0.63,0.19,0.41
82,Israel,63,69,9,2.5,9,7.36,7.43,7.3,2.63,1.83,1.22,0.82,0.57,0.16,0.14
83,Italy,85,42,237,6.5,31,6.47,6.57,6.36,2.22,1.83,1.05,0.8,0.41,0.09,0.06
84,Jamaica,82,97,9,3.4,63,5.85,6.02,5.68,2.16,1.3,1.05,0.65,0.57,0.08,0.05
85,Japan,77,202,16,7.0,54,6.04,6.12,5.96,1.49,1.84,1.09,0.87,0.54,0.01,0.22
86,Jordan,6,21,1,0.5,134,4.15,4.28,4.03,0.7,1.32,0.72,0.68,0.48,0.06,0.2
