index;country;beer_servings;spirit_servings;wine_servings;total_litres_of_pure_alcohol
0;Afghanistan;0,00;0,00;0,00;0,00
1;Albania;89,00;132,00;54,00;4,90
2;Algeria;25,00;0,00;14,00;0,70
3;Andorra;245,00;138,00;312,00;12,40
4;Angola;217,00;57,00;45,00;5,90
5;Antigua & Barbuda;102,00;128,00;45,00;4,90
6;Argentina;193,00;25,00;221,00;8,30
7;Armenia;21,00;179,00;11,00;3,80
8;Australia;261,00;72,00;212,00;10,40
9;Austria;279,00;75,00;191,00;9,70
10;Azerbaijan;21,00;46,00;5,00;1,30
11;Bahamas;122,00;176,00;51,00;6,30
12;Bahrain;42,00;63,00;7,00;2,00
13;Bangladesh;0,00;0,00;0,00;0,00
14;Barbados;143,00;173,00;36,00;6,30
15;Belarus;142,00;373,00;42,00;14,40
16;Belgium;295,00;84,00;212,00;10,50
17;Belize;263,00;114,00;8,00;6,80
18;Benin;34,00;4,00;13,00;1,10
19;Bhutan;23,00;0,00;0,00;0,40
20;Bolivia;167,00;41,00;8,00;3,80
21;Bosnia-Herzegovina;76,00;173,00;8,00;4,60
22;Botswana;173,00;35,00;35,00;5,40
23;Brazil;245,00;145,00;16,00;7,20
24;Brunei;31,00;2,00;1,00;0,60
25;Bulgaria;231,00;252,00;94,00;10,30
26;Burkina Faso;25,00;7,00;7,00;4,30
27;Burundi;88,00;0,00;0,00;6,30
28;Cote d'Ivoire;37,00;1,00;7,00;4,00
29;Cabo Verde;144,00;56,00;16,00;4,00
30;Cambodia;57,00;65,00;1,00;2,20
31;Cameroon;147,00;1,00;4,00;5,80
32;Canada;240,00;122,00;100,00;8,20
33;Central African Republic;17,00;2,00;1,00;1,80
34;Chad;15,00;1,00;1,00;0,40
35;Chile;130,00;124,00;172,00;7,60
36;China;79,00;192,00;8,00;5,00
37;Colombia;159,00;76,00;3,00;4,20
38;Comoros;1,00;3,00;1,00;0,10
39;Congo;76,00;1,00;9,00;1,70
40;Cook Islands;0,00;254,00;74,00;5,90
41;Costa Rica;149,00;87,00;11,00;4,40
42;Croatia;230,00;87,00;254,00;10,20
43;Cuba;93,00;137,00;5,00;4,20
44;Cyprus;192,00;154,00;113,00;8,20
45;Czech Republic;361,00;170,00;134,00;11,80
46;North Korea;0,00;0,00;0,00;0,00
47;DR Congo;32,00;3,00;1,00;2,30
48;Denmark;224,00;81,00;278,00;10,40
49;Djibouti;15,00;44,00;3,00;1,10
50;Dominica;52,00;286,00;26,00;6,60
51;Dominican Republic;193,00;147,00;9,00;6,20
52;Ecuador;162,00;74,00;3,00;4,20
53;Egypt;6,00;4,00;1,00;0,20
54;El Salvador;52,00;69,00;2,00;2,20
55;Equatorial Guinea;92,00;0,00;233,00;5,80
56;Eritrea;18,00;0,00;0,00;0,50
57;Estonia;224,00;194,00;59,00;9,50
58;Ethiopia;20,00;3,00;0,00;0,70
59;Fiji;77,00;35,00;1,00;2,00
60;Finland;263,00;133,00;97,00;10,00
61;France;127,00;151,00;370,00;11,80
62;Gabon;347,00;98,00;59,00;8,90
63;Gambia;8,00;0,00;1,00;2,40
64;Georgia;52,00;100,00;149,00;5,40
65;Germany;346,00;117,00;175,00;11,30
66;Ghana;31,00;3,00;10,00;1,80
